,Unnamed: 0,Unnamed: 0.1,year,song,artist,peak_pos,weeks_on_chart,instance,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
2237,2237,2238,2016,Gangsta,Kehlani,100,12,2,0.439,0.447,10.0,-8.318,0.0,0.0436,0.111,0.0,0.303,0.11,121.48,audio_features,1W7zkKgRv9mrLbfdQ8XyH3,spotify:track:1W7zkKgRv9mrLbfdQ8XyH3,https://api.spotify.com/v1/tracks/1W7zkKgRv9mrLbfdQ8XyH3,https://api.spotify.com/v1/audio-analysis/1W7zkKgRv9mrLbfdQ8XyH3,177029.0,4.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap']"
2238,2238,2239,2004,Gangsta Girl,Big Tymers Featuring R. Kelly,97,9,1,0.846,0.627,8.0,-8.779,1.0,0.16699999999999998,0.48100000000000004,0.0,0.0825,0.902,152.03,audio_features,2C4RRPsDsjghWolIaodRh4,spotify:track:2C4RRPsDsjghWolIaodRh4,https://api.spotify.com/v1/tracks/2C4RRPsDsjghWolIaodRh4,https://api.spotify.com/v1/audio-analysis/2C4RRPsDsjghWolIaodRh4,258947.0,4.0,"['crunk', 'dirty south rap', 'gangster rap', 'hip hop', 'new orleans rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2239,2239,2240,2002,Gangsta Lovin,Eve Featuring Alicia Keys,61,22,1,0.728,0.826,1.0,-3.763,0.0,0.0604,0.0783,0.0,0.10099999999999999,0.8340000000000001,94.36,audio_features,0WgLpgUdThEpA5L5K0SKq7,spotify:track:0WgLpgUdThEpA5L5K0SKq7,https://api.spotify.com/v1/tracks/0WgLpgUdThEpA5L5K0SKq7,https://api.spotify.com/v1/audio-analysis/0WgLpgUdThEpA5L5K0SKq7,239267.0,4.0,"['dance pop', 'hip hop', 'hip pop', 'philly rap', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
2240,2240,2241,2010,Gangsta Luv,Snoop Dogg Featuring The-Dream,57,19,1,0.59,0.735,2.0,-4.9239999999999995,1.0,0.297,0.0277,0.0,0.0818,0.39799999999999996,102.07600000000001,audio_features,1E8wif6bVXurUgxV8Gfwrw,spotify:track:1E8wif6bVXurUgxV8Gfwrw,https://api.spotify.com/v1/tracks/1E8wif6bVXurUgxV8Gfwrw,https://api.spotify.com/v1/audio-analysis/1E8wif6bVXurUgxV8Gfwrw,256547.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
2241,2241,2242,2004,Gangsta Nation,Westside Connection Featuring Nate Dogg,77,18,1,0.843,0.7,9.0,-3.2489999999999997,0.0,0.26,0.127,0.0,0.8759999999999999,0.675,95.05,audio_features,65iyI1iybyv5ecsfBHSdUf,spotify:track:65iyI1iybyv5ecsfBHSdUf,https://api.spotify.com/v1/tracks/65iyI1iybyv5ecsfBHSdUf,https://api.spotify.com/v1/audio-analysis/65iyI1iybyv5ecsfBHSdUf,293053.0,4.0,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'west coast rap']"
2242,2242,2243,2018,Ganja Burns,Nicki Minaj,60,1,1,0.668,0.738,8.0,-5.8,1.0,0.291,0.296,1.22e-05,0.121,0.434,140.061,audio_features,78plgCEaLcOAyUP1P1fqgl,spotify:track:78plgCEaLcOAyUP1P1fqgl,https://api.spotify.com/v1/tracks/78plgCEaLcOAyUP1P1fqgl,https://api.spotify.com/v1/audio-analysis/78plgCEaLcOAyUP1P1fqgl,233387.0,4.0,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap']"
2243,2243,2244,2014,Gas Pedal,Sage The Gemini Featuring IamSu!,58,25,1,0.843,0.5379999999999999,1.0,-8.027999999999999,1.0,0.0833,0.0273,0.0,0.124,0.428,97.49,audio_features,1UMKquW1olreYO1LlLmTqi,spotify:track:1UMKquW1olreYO1LlLmTqi,https://api.spotify.com/v1/tracks/1UMKquW1olreYO1LlLmTqi,https://api.spotify.com/v1/audio-analysis/1UMKquW1olreYO1LlLmTqi,208160.0,4.0,"['dance pop', 'hyphy', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2244,2244,2245,2005,Gasolina,Daddy Yankee,96,20,1,0.857,0.8009999999999999,0.0,-6.499,1.0,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,audio_features,6jEZLz3YpnEBRpVkv35AmP,spotify:track:6jEZLz3YpnEBRpVkv35AmP,https://api.spotify.com/v1/tracks/6jEZLz3YpnEBRpVkv35AmP,https://api.spotify.com/v1/audio-analysis/6jEZLz3YpnEBRpVkv35AmP,192600.0,4.0,"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']"
2245,2245,2246,2013,Gentleman,PSY,12,15,1,0.861,0.7,9.0,-5.489,1.0,0.0783,0.00699,0.74,0.251,0.601,130.022,audio_features,09MVnJMxrsHRJZfFdbKyK0,spotify:track:09MVnJMxrsHRJZfFdbKyK0,https://api.spotify.com/v1/tracks/09MVnJMxrsHRJZfFdbKyK0,https://api.spotify.com/v1/audio-analysis/09MVnJMxrsHRJZfFdbKyK0,494760.0,4.0,[]
2246,2246,2247,2001,Georgia,Carolyn Dawn Johnson,98,5,1,0.5329999999999999,0.621,0.0,-6.285,1.0,0.032,0.0549,0.0,0.21899999999999997,0.27899999999999997,81.594,audio_features,72xOalbgbNEnV8RsMarPey,spotify:track:72xOalbgbNEnV8RsMarPey,https://api.spotify.com/v1/tracks/72xOalbgbNEnV8RsMarPey,https://api.spotify.com/v1/audio-analysis/72xOalbgbNEnV8RsMarPey,293160.0,4.0,"['alberta country', 'canadian country', 'contemporary country', 'country', 'country dawn']"
2247,2247,2248,2006,Georgia,Ludacris & Field Mob Featuring Jamie Foxx,48,9,1,0.452,0.872,0.0,-7.603,0.0,0.564,0.109,0.0,0.251,0.528,67.348,audio_features,4Oany7rm9uIi7TLlaBjouD,spotify:track:4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/tracks/4Oany7rm9uIi7TLlaBjouD,https://api.spotify.com/v1/audio-analysis/4Oany7rm9uIi7TLlaBjouD,261293.0,4.0,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2248,2248,2249,2011,Georgia Clay,Josh Kelley,89,3,1,0.612,0.731,6.0,-5.022,1.0,0.0317,0.0699,0.0,0.188,0.56,106.98200000000001,audio_features,26AGhzVb4qXRy1QBMR7lzG,spotify:track:26AGhzVb4qXRy1QBMR7lzG,https://api.spotify.com/v1/tracks/26AGhzVb4qXRy1QBMR7lzG,https://api.spotify.com/v1/audio-analysis/26AGhzVb4qXRy1QBMR7lzG,183760.0,4.0,"['acoustic pop', 'neo mellow']"
2249,2249,2250,2005,Georgia Rain,Trisha Yearwood,98,9,2,0.528,0.456,10.0,-5.617999999999999,1.0,0.0241,0.61,4.6200000000000005e-05,0.19,0.16399999999999998,99.09200000000001,audio_features,6qdKKHh8r7N8nRYih2g7Pm,spotify:track:6qdKKHh8r7N8nRYih2g7Pm,https://api.spotify.com/v1/tracks/6qdKKHh8r7N8nRYih2g7Pm,https://api.spotify.com/v1/audio-analysis/6qdKKHh8r7N8nRYih2g7Pm,311360.0,4.0,"['contemporary country', 'country', 'country dawn', 'country road']"
